Trip,Date,Price,Item,Paid with
santa maria,3-Nov,3.00,breakfast,cash
santa maria,3-Nov,0.20,snack,cash
santa maria,3-Nov,28.00,bus ticket,cash
santa maria,3-Nov,3.00,snacks,cash
bogota,4-Nov,5.00,phone,cash
bogota,4-Nov,16.00,mail,cash
bogota,4-Nov,1.30,snack,cash
bogota,5-Nov,7.50,phone call,cash
melgar,7-Nov,14.00,bus,cash
melgar,7-Nov,3.00,breakfast,cash
melgar,7-Nov,9.00,taxi,cash
melgar,7-Nov,6.80,taxi,cash
melgar,7-Nov,4.50,taxi,cash
melgar,7-Nov,10.00,bus,cash
melgar,7-Nov,3.00,snacks,cash
melgar,7-Nov,5.00,cafam entrance,cash
melgar,7-Nov,1.4,ice cream,cash
las brisas,8-Nov,4.00,transmilenio,cash
las brisas,8-Nov,6.00,snacks,cash
las brisas,8-Nov,9.25,lunch,cash
bogota,9-Nov,4.50,snacks,cash
bogota,9-Nov,1.50,bus,cash
bogota,10-Nov,2.25,bus,cash
bogota,11-Nov,7.00,food,cash
bogota,12-Nov,1.50,bus,cash
bogota,12-Nov,1.00,mani,cash
medellin,13-Nov,8.00,taxi,cash
medellin,13-Nov,5.00,lunch,cash
medellin,13-Nov,9.50,taxi,cash
medellin,13-Nov,20.00,taxi,cash
medellin,14-Nov,3.50,juice,cash
medellin,14-Nov,10.00,entrance to rio claro,cash
medellin,14-Nov,12.00,brunch,cash
medellin,14-Nov,28.00,bus to rio claro,cash
medellin,14-Nov,2.50,snacks,cash
medellin,14-Nov,3.00,taxi,cash
medellin,14-Nov,5.50,beer,cash
termales,15-Nov,4.50,taxi,cash
termales,15-Nov,7.00,visitor fee,cash
termales,15-Nov,25.00,boat to termales,cash
termales,15-Nov,75.00,hotel,cash
termales,15-Nov,10.00,lunch,cash
termales,15-Nov,4.50,water,cash
termales,15-Nov,60.00,boat to bahia solano,cash
termales,16-Nov,25.00,guide,cash
el valle,17-Nov,25.00,boat to nuqui,cash
el valle,17-Nov,25.00,taxi,cash
el valle,17-Nov,15.00,lunch,cash
el valle,17-Nov,4.00,snacks,cash
el valle,17-Nov,5.50,water and bread,cash
