"day","year","Adoxophyes_honmai"
248,1971,13
253,1971,32
258,1971,43
263,1971,159
268,1971,114
273,1971,107
278,1971,95
283,1971,59
288,1971,20
293,1971,27
298,1971,44
303,1971,8
309,1971,27
314,1971,51
319,1971,64
324,1971,5
329,1971,4
334,1971,46
64,1972,0
69,1972,4
74,1972,0
79,1972,23
84,1972,44
89,1972,16
95,1972,124
100,1972,62
105,1972,7
110,1972,49
115,1972,46
120,1972,12
125,1972,3
130,1972,8
135,1972,1
140,1972,0
145,1972,0
150,1972,5
156,1972,105
161,1972,24
166,1972,349
171,1972,249
176,1972,103
181,1972,6
186,1972,3
191,1972,5
196,1972,5
201,1972,195
206,1972,104
211,1972,1123
217,1972,648
222,1972,86
227,1972,14
232,1972,14
237,1972,19
242,1972,66
248,1972,97
253,1972,117
258,1972,98
263,1972,114
268,1972,81
273,1972,65
278,1972,35
283,1972,58
288,1972,76
293,1972,5
298,1972,12
303,1972,24
309,1972,62
314,1972,22
319,1972,17
324,1972,2
329,1972,0
334,1972,0
64,1973,0
69,1973,0
74,1973,4
79,1973,1
84,1973,0
89,1973,98
95,1973,14
100,1973,77
105,1973,29
110,1973,55
115,1973,92
120,1973,25
125,1973,1
130,1973,8
135,1973,3
140,1973,3
145,1973,6
150,1973,53
156,1973,252
161,1973,1560
166,1973,2633
171,1973,1663
176,1973,702
181,1973,95
186,1973,14
191,1973,16
196,1973,60
201,1973,376
206,1973,3242
211,1973,2627
217,1973,562
222,1973,44
227,1973,2
232,1973,26
237,1973,92
242,1973,2331
248,1973,669
253,1973,365
258,1973,51
263,1973,27
268,1973,2
273,1973,4
278,1973,43
283,1973,3
288,1973,4
293,1973,28
298,1973,19
303,1973,52
309,1973,36
314,1973,11
319,1973,8
324,1973,2
329,1973,1
334,1973,1
64,1974,3
69,1974,0
74,1974,0
79,1974,0
84,1974,0
89,1974,1
95,1974,4
100,1974,1
105,1974,12
110,1974,88
115,1974,5
120,1974,41
125,1974,34
130,1974,114
135,1974,84
140,1974,24
145,1974,10
150,1974,5
156,1974,56
161,1974,225
166,1974,230
171,1974,469
176,1974,757
181,1974,171
186,1974,19
191,1974,19
196,1974,1
201,1974,11
206,1974,276
211,1974,593
217,1974,309
222,1974,130
227,1974,64
232,1974,25
237,1974,40
242,1974,14
248,1974,49
253,1974,145
258,1974,126
263,1974,96
268,1974,28
273,1974,54
278,1974,30
283,1974,65
288,1974,30
293,1974,14
298,1974,11
303,1974,61
309,1974,20
314,1974,21
319,1974,5
324,1974,0
329,1974,0
334,1974,8
64,1975,0
69,1975,5
74,1975,3
79,1975,0
84,1975,0
89,1975,0
95,1975,0
100,1975,3
105,1975,26
110,1975,24
115,1975,18
120,1975,200
125,1975,396
130,1975,148
135,1975,185
140,1975,8
145,1975,1
150,1975,2
156,1975,10
161,1975,135
166,1975,636
171,1975,1261
176,1975,873
181,1975,1132
186,1975,41
191,1975,27
196,1975,6
201,1975,77
206,1975,999
211,1975,310
217,1975,839
222,1975,465
227,1975,82
232,1975,47
237,1975,0
242,1975,61
248,1975,316
253,1975,952
258,1975,731
263,1975,61
268,1975,57
273,1975,29
278,1975,24
283,1975,7
288,1975,52
293,1975,46
298,1975,45
303,1975,37
309,1975,6
314,1975,20
319,1975,14
324,1975,3
329,1975,1
334,1975,1
64,1976,0
69,1976,1
74,1976,0
79,1976,18
84,1976,0
89,1976,21
95,1976,0
100,1976,2
105,1976,1
110,1976,19
115,1976,124
120,1976,292
125,1976,100
130,1976,55
135,1976,8
140,1976,5
145,1976,9
150,1976,12
156,1976,12
161,1976,240
166,1976,1091
171,1976,1073
176,1976,714
181,1976,138
186,1976,31
191,1976,16
196,1976,57
201,1976,51
206,1976,291
211,1976,2285
217,1976,1739
222,1976,76
227,1976,19
232,1976,28
237,1976,43
242,1976,107
248,1976,306
253,1976,995
258,1976,3383
263,1976,225
268,1976,8
273,1976,44
278,1976,36
283,1976,49
288,1976,35
293,1976,137
298,1976,157
303,1976,230
309,1976,1993
314,1976,330
319,1976,31
324,1976,1
329,1976,0
334,1976,0
64,1977,0
69,1977,0
74,1977,5
79,1977,2
84,1977,6
89,1977,2
95,1977,6
100,1977,18
105,1977,71
110,1977,2
115,1977,389
120,1977,134
125,1977,179
130,1977,34
135,1977,11
140,1977,1
145,1977,2
150,1977,5
156,1977,54
161,1977,1041
166,1977,1450
171,1977,661
176,1977,179
181,1977,72
186,1977,7
191,1977,6
196,1977,21
201,1977,553
206,1977,929
211,1977,1999
217,1977,925
222,1977,77
227,1977,30
232,1977,39
237,1977,103
242,1977,1402
248,1977,2231
253,1977,558
258,1977,63
263,1977,40
268,1977,6
273,1977,29
278,1977,79
283,1977,92
288,1977,565
293,1977,421
298,1977,78
303,1977,195
309,1977,19
314,1977,19
319,1977,9
324,1977,4
329,1977,1
334,1977,1
64,1978,1
69,1978,1
74,1978,0
79,1978,6
84,1978,0
89,1978,58
95,1978,53
100,1978,60
105,1978,66
110,1978,108
115,1978,36
120,1978,613
125,1978,375
130,1978,233
135,1978,26
140,1978,10
145,1978,5
150,1978,5
156,1978,6
161,1978,55
166,1978,1154
171,1978,2048
176,1978,1845
181,1978,863
186,1978,46
191,1978,7
196,1978,3
201,1978,170
206,1978,559
211,1978,1132
217,1978,1202
222,1978,313
227,1978,3
232,1978,6
237,1978,81
242,1978,488
248,1978,817
253,1978,292
258,1978,157
263,1978,89
268,1978,8
273,1978,36
278,1978,51
283,1978,65
288,1978,199
293,1978,338
298,1978,351
303,1978,59
309,1978,17
314,1978,72
319,1978,14
324,1978,4
329,1978,1
334,1978,0
64,1979,0
69,1979,2
74,1979,1
79,1979,0
